Date,Close,Volume,Open,High,Low
2/21/2018,91.49,26664100,92.98,93.3595,91.49
2/20/2018,92.72,30325530,91.475,93.06,91.01
2/16/2018,92,30580470,92.45,93.5,91.8
2/15/2018,92.66,27523410,91.21,92.72,90.62
2/14/2018,90.81,34825510,88.51,90.99,88.41
2/13/2018,89.83,26320030,88.93,90,87.8
2/12/2018,89.13,35657250,88.735,89.78,87.9295
2/9/2018,88.18,63470240,86.3,88.93,83.83
2/8/2018,85.01,55247060,89.71,89.875,84.76
2/7/2018,89.61,41082380,90.49,91.77,89.2
2/6/2018,91.33,67970920,86.89,91.475,85.25
2/5/2018,88,50588980,90.56,93.24,88
2/2/2018,91.78,47484680,93.64,93.97,91.5
2/1/2018,94.26,46866010,94.79,96.07,93.5813
1/31/2018,95.01,47448270,93.75,95.4,93.51
1/30/2018,92.74,37310120,93.3,93.66,92.1
1/29/2018,93.92,31521680,95.14,95.45,93.72
1/26/2018,94.06,28964890,93.12,94.06,92.58
1/25/2018,92.33,26099100,92.465,93.24,91.93
1/24/2018,91.82,32735410,92.55,93.43,91.58
1/23/2018,91.9,23014000,91.9,92.3,91.54
1/22/2018,91.61,23511170,90,91.62,89.74
1/19/2018,90,35612750,90.14,90.61,89.66
1/18/2018,90.1,24138250,89.8,90.67,89.66
1/17/2018,90.14,25617320,89.08,90.28,88.75
1/16/2018,88.35,36584400,90.1,90.79,88.0104
1/12/2018,89.6,24261620,88.67,89.78,88.45
1/11/2018,88.08,17699700,88.13,88.13,87.24
1/10/2018,87.82,18639390,87.86,88.19,87.41
1/9/2018,88.22,19466220,88.65,88.7272,87.86
1/8/2018,88.28,22110230,88.2,88.58,87.6046
1/5/2018,88.19,23400070,87.66,88.41,87.43
1/4/2018,87.11,21904860,86.59,87.66,86.57
1/3/2018,86.35,25979960,86.055,86.51,85.97
1/2/2018,85.95,22122680,86.125,86.31,85.5
12/29/2017,85.54,18547840,85.63,86.05,85.5
12/28/2017,85.72,10589110,85.9,85.93,85.55
12/27/2017,85.71,14662250,85.65,85.98,85.215
12/26/2017,85.4,9883700,85.31,85.5346,85.03
12/22/2017,85.51,14071140,85.4,85.63,84.92
12/21/2017,85.5,17939970,86.05,86.1,85.4
12/20/2017,85.52,23584190,86.2,86.3,84.71
12/19/2017,85.83,23339920,86.35,86.35,85.27
12/18/2017,86.38,22278960,87.12,87.4999,86.23
12/15/2017,86.85,53921240,85.26,87.09,84.88
12/14/2017,84.69,19302690,85.43,85.8739,84.53
12/13/2017,85.35,21708830,85.74,86,85.17
12/12/2017,85.58,23821210,85.31,86.05,85.08
12/11/2017,85.23,21446720,84.29,85.37,84.12
12/8/2017,84.16,24027610,83.63,84.58,83.33
12/7/2017,82.49,23170300,82.54,82.8,82
12/6/2017,82.78,24876890,81.55,83.14,81.43
12/5/2017,81.59,26144410,81.34,82.68,80.9801
12/4/2017,81.08,39084990,84.42,84.4299,80.7
12/1/2017,84.26,29387350,83.6,84.81,83.22
11/30/2017,84.17,32998560,83.51,84.52,83.34
11/29/2017,83.34,27358660,84.71,84.9172,83.175
11/28/2017,84.88,21897340,84.07,85.06,84.02
11/27/2017,83.87,17721740,83.31,83.98,83.3
11/24/2017,83.26,7425603,83.01,83.43,82.78
11/22/2017,83.11,20550600,83.83,83.9,83.04
11/21/2017,83.72,21195610,82.74,83.84,82.74
11/20/2017,82.53,16128540,82.4,82.59,82.25
11/17/2017,82.4,22075340,83.12,83.12,82.24
11/16/2017,83.2,20957350,83.1,83.42,82.94
11/15/2017,82.98,19337370,83.47,83.69,82.69
11/14/2017,84.05,18759800,83.5,84.1,82.98
11/13/2017,83.93,14185670,83.66,83.94,83.46
11/10/2017,83.87,19395240,83.79,84.095,83.23
11/9/2017,84.09,21174120,84.11,84.27,82.9
11/8/2017,84.56,18027540,84.14,84.61,83.83
11/7/2017,84.27,17927430,84.77,84.9,83.93
11/6/2017,84.47,19852030,84.2,84.7,84.0825
11/3/2017,84.14,17629140,84.08,84.54,83.4
11/2/2017,84.05,23980410,83.35,84.46,83.12
11/1/2017,83.18,22278730,83.68,83.76,82.88
10/31/2017,83.18,26949400,84.36,84.36,83.11
10/30/2017,83.89,31749180,83.7,84.325,83.105
10/27/2017,83.81,71022110,84.37,86.2,83.61
10/26/2017,78.76,31527350,79.2,79.42,78.75
10/25/2017,78.63,20377380,78.58,79.1,78.01
10/24/2017,78.86,17353840,78.9,79.2,78.46
10/23/2017,78.83,20609800,78.99,79.34,78.76
10/20/2017,78.81,22851290,78.32,78.97,78.22
10/19/2017,77.91,15080780,77.57,77.93,77.35
