Date,Close,Open,High,Low
11/30/2020,119.56,120.12,120.99,119.14
11/27/2020,120.36,120.21,121.29,119.93
11/25/2020,120.21,118.98,120.34,118.19
11/24/2020,120.43,116.98,120.73,116.93
11/23/2020,116.24,113.66,116.65,113.51
11/20/2020,113.19,113.83,114.25,112.95
11/19/2020,113.42,112.8,113.68,112.17
11/18/2020,113.02,113.94,115.06,113
11/17/2020,113.92,113.83,114.74,113.31
11/16/2020,114.56,114.5,114.75,113.36
11/13/2020,113.1,111.49,113.6,111.32
11/12/2020,110.83,111.92,112.64,109.84
11/11/2020,113.44,114.33,114.55,112.49
11/10/2020,114.13,112.95,114.38,112.52
11/9/2020,111.82,114.1,115.9,111.57
11/6/2020,110.38,111.39,111.41,109.75
11/5/2020,111.09,109.66,111.59,109.38
11/4/2020,108.31,108.73,110.25,107.59
11/3/2020,110.5,110.34,111.94,109.98
11/2/2020,109.29,109.03,110.17,108.65
10/30/2020,108.08,104.44,108.21,104.29
10/29/2020,105.41,103.81,106.12,103.13
10/28/2020,103.23,105.17,106.21,102.52
10/27/2020,107.01,108.55,108.62,106.5
10/26/2020,108.62,110.78,111.21,108.25
10/23/2020,112.28,112.76,112.88,111.82
10/22/2020,112.04,111.31,112.34,109.35
10/21/2020,111.37,112.92,113.91,111.11
10/20/2020,113.6,115.96,116.29,113.09
10/19/2020,121.49,122.73,123.26,121.07
10/16/2020,121.89,121.15,122.37,120.65
10/15/2020,120.88,120.1,121.2,119.88
10/14/2020,121.9,121.11,122.87,121.11
10/13/2020,121.09,122.51,123.07,120.47
10/12/2020,123.13,123.96,124.13,122.38
10/9/2020,123.69,127.76,127.76,123.5
10/8/2020,127.27,126.66,131.15,125.61
10/7/2020,120.09,118.73,120.4,118.39
10/6/2020,118.06,118.65,120.82,117.69
10/5/2020,118.09,117.93,118.81,117.17
10/2/2020,116.7,115.22,117.84,115.01
10/1/2020,117.2,118.43,119.34,116.49
9/30/2020,117.77,117.48,118.97,116.92
9/29/2020,117.06,117.51,118.26,116.35
9/28/2020,117.82,116.7,118.4,116.55
9/25/2020,115.13,113.83,115.58,113.19
9/24/2020,114.3,114.31,115.68,112.74
9/23/2020,115.02,116.92,117.69,114.63
9/22/2020,116.64,116.47,117.55,115.69
9/21/2020,116.39,116.61,116.83,114.77
9/18/2020,118.82,120.27,120.91,118.71
9/17/2020,120.91,118.68,121.52,118.06
9/16/2020,120.23,118.77,121.78,118.77
9/15/2020,118.51,118.88,119.44,118.32
9/14/2020,118.17,118.43,119.42,117.85
9/11/2020,117.56,117.49,118.76,116.86
